"","Road","Number_of_Fees(sheet/day)","Total_Parking_Hours(hours/day)","Number_of_Parking_Space","Hours_per_sheet","Time_Start","Time_End","Interval","Space_efficiency"
"616","四平街",48.367816091954,86.2689655172414,38.0137931034483,1.78360266159696,"07:00","19:00",12,"18.9%"
"617","四維路",63.0629787234043,133.168510638298,32.2391489361702,2.11167492138895,"07:00","20:00",13,"31.8%"
"618","松德路",156.212439418417,315.098546042003,117.678513731826,2.01711558448945,"07:00","20:00",13,"20.6%"
"619","松德路168巷",61.6850574712644,139.796551724138,41.1344827586207,2.26629523348116,"07:00","20:00",13,"26.1%"
"620","松德路180巷",17.4172413793103,40.0827586206897,8.61724137931034,2.30132647000594,"07:00","20:00",13,"35.8%"
"621","松高路20巷",675.305747126437,675.305747126437,668,1,"12:00","20:00",8,"12.6%"
"622","松河街",48.9833333333333,53.4384615384615,126.371794871795,1.09095191980527,"09:00","17:00",8,"5.3%"
"623","松江路",40.7471264367816,89.5770114942529,155.710344827586,2.19836389280677,"09:00","17:00",8,"7.2%"
"624","松江路188巷(中吉公園周邊)",8.24367816091954,15.9655172413793,2.98390804597701,1.9366982710541,"07:00","20:00",13,"41.2%"
"625","松江路25巷",55.7769230769231,114.12,38.5123076923077,2.04600744724866,"07:00","17:00",10,"29.6%"
"626","松江路357巷",42.5402298850575,45.5540229885057,15.9954022988506,1.07084571737368,"07:00","20:00",13,"21.9%"
"627","松江路469巷",7.71724137931034,13.3908045977012,3.11264367816092,1.73518022043491,"07:00","20:00",13,"33.1%"
"628","松江路84巷",51.8689655172414,92.0942528735632,30.1287356321839,1.77551744005673,"07:00","20:00",13,"23.5%"
"629","松江路85巷",38.3298850574713,71.1528735632184,17.3413793103448,1.85632890514889,"07:00","20:00",13,"31.6%"
"630","松江路90巷",63.616091954023,99.6597701149425,34.983908045977,1.56658114407545,"07:00","20:00",13,"21.9%"
"631","松江路A",41.4899135446686,62.0124879923151,28.2660902977906,1.49464008705517,"07:00","20:00",13,"16.9%"
